,ST_CASE,HARM_EV_2015
5116,62983,Motor Vehicle In-Transport
5117,62984,Motor Vehicle In-Transport
5118,62985,Curb
5119,62986,Guardrail Face
5120,62987,Motor Vehicle In-Transport
5121,62988,Pedestrian
5122,62989,Parked Motor Vehicle
5123,62990,Concrete Traffic Barrier
5124,62991,Motor Vehicle In-Transport
5125,62992,Pedalcyclist
5126,62993,Motor Vehicle In-Transport
5127,62994,Pedestrian
5128,62995,Concrete Traffic Barrier
5129,62996,Pedestrian
5130,62997,Motor Vehicle In-Transport
5131,62998,Motor Vehicle In-Transport
5132,62999,Motor Vehicle In-Transport
5133,63000,Pedestrian
5134,63001,Concrete Traffic Barrier
5135,63002,Utility Pole/Light Support
5136,63003,Pedestrian
5137,63004,Pedalcyclist
5138,63005,Pedestrian
5139,63006,Pedestrian
5140,63007,Concrete Traffic Barrier
5141,63008,Motor Vehicle In-Transport
5142,63009,Motor Vehicle In-Transport
5143,63010,Pedestrian
5144,63011,Motor Vehicle In-Transport
5145,63012,Guardrail End
5146,63013,Motor Vehicle In-Transport
5147,63014,Non-Motorist on Personal Conveyance
5148,63015,Pedestrian
5149,63016,Motor Vehicle In-Transport
5150,63017,Pedestrian
5151,63018,Pedestrian
5152,63019,Pedestrian
5153,63020,Pedestrian
5154,63021,Motor Vehicle In-Transport
5155,63022,Motor Vehicle In-Transport
5156,63023,Motor Vehicle In-Transport
5157,63024,Curb
5158,63025,Pedestrian
5159,63026,Motor Vehicle In-Transport
5160,63027,Pedestrian
5161,63028,Curb
5162,63029,Motor Vehicle In-Transport
5163,63030,Motor Vehicle In-Transport
5164,63031,Curb
5165,63032,Pedalcyclist
5166,63033,Pedestrian
5167,63034,Motor Vehicle In-Transport
5168,63035,Motor Vehicle In-Transport
5169,63036,Motor Vehicle In-Transport
5170,63037,Curb
5171,63038,Motor Vehicle In-Transport
5172,63039,Pedestrian
5173,63040,Pedestrian
5174,63041,Concrete Traffic Barrier
5175,63042,Rollover/Overturn
5176,63043,Motor Vehicle In-Transport
5177,63044,Fence
5178,63045,Utility Pole/Light Support
5179,63046,Other Fixed Object
5180,63047,Curb
5181,63048,Curb
5182,63049,Pedestrian
5183,63050,Curb
5184,63051,Pedestrian
5185,63052,Pedalcyclist
5186,63053,Pedestrian
5187,63054,Pedestrian
5188,63055,Motor Vehicle In-Transport
5189,63056,Fence
5190,63057,Pedestrian
5191,63058,Pedestrian
5192,63059,Parked Motor Vehicle
5193,63060,Pedestrian
5194,63061,Curb
5195,63062,Motor Vehicle In-Transport
5196,63063,Motor Vehicle In-Transport
5197,63064,Pedestrian
5198,63065,Motor Vehicle In-Transport
5199,63066,Pedestrian
5200,63067,Shrubbery
5201,63068,Pedestrian
5202,63069,Utility Pole/Light Support
5203,63070,Motor Vehicle In-Transport
5204,63071,Other Fixed Object
5205,63072,Motor Vehicle In-Transport
5206,63073,Motor Vehicle In-Transport
5207,63074,Pedestrian
5208,63075,Motor Vehicle In-Transport
5209,63076,Motor Vehicle In-Transport
5210,63077,Pedestrian
5211,63078,Embankment
5212,63079,Pedestrian
5213,63080,Pedestrian
5214,63081,Motor Vehicle In-Transport
5215,63082,Motor Vehicle In-Transport
5216,63083,Motor Vehicle In-Transport
5217,63084,Pedestrian
5218,63085,Motor Vehicle In-Transport
5219,63086,Motor Vehicle In-Transport
5220,63087,Non-Motorist on Personal Conveyance
5221,63088,Pedestrian
5222,63089,Pedestrian
5223,63090,Pedestrian
5224,63091,Motor Vehicle In-Transport
5225,63092,Motor Vehicle In-Transport
5226,63093,Wall
5227,63094,Wall
5228,63095,Pedestrian
5229,63096,Motor Vehicle In-Transport
5230,63097,Pedalcyclist
5231,63098,Pedalcyclist
5232,63099,Pedestrian
5233,63100,Parked Motor Vehicle
5234,63101,Motor Vehicle In-Transport
5235,63102,Pedestrian
5236,63103,Motor Vehicle In-Transport
5237,63104,Motor Vehicle In-Transport
5238,63105,Pedestrian
5239,63106,Motor Vehicle In-Transport
5240,63107,Motor Vehicle In-Transport
5241,63108,Wall
5242,63109,Pedestrian
5243,63110,Pedalcyclist
5244,63111,Pedestrian
5245,63112,Pedestrian
5246,63113,Embankment
5247,63114,Pedestrian
5248,63115,Motor Vehicle In-Transport
5249,63116,Motor Vehicle In-Transport
5250,63117,Motor Vehicle In-Transport
5251,63118,Curb
5252,63119,Motor Vehicle In-Transport
5253,63120,Pedestrian
5254,63121,Motor Vehicle In-Transport
5255,63122,Rollover/Overturn
5256,63123,Pedestrian
5257,63124,Pedestrian
5258,63125,Wall
5259,63126,Curb
5260,63127,Pedestrian
5261,63128,Pedestrian
5262,63129,Pedestrian
5263,63130,Motor Vehicle In-Transport
5264,63131,Pedestrian
5265,63132,Pedestrian
5266,63133,Pedestrian
5267,63135,Motor Vehicle In-Transport
5268,63136,Embankment
5269,80001,Tree (Standing Only)
5270,80002,Pedestrian
5271,80003,Motor Vehicle In-Transport
5272,80004,Motor Vehicle In-Transport
5273,80005,Motor Vehicle In-Transport
5274,80006,Motor Vehicle In-Transport
5275,80007,"Other Post, Other Pole, or Other Supports"
5276,80008,Pedestrian
5277,80009,Traffic Sign Support
5278,80010,Rollover/Overturn
5279,80011,Rollover/Overturn
5280,80012,Rollover/Overturn
5281,80013,"Other Post, Other Pole, or Other Supports"
5282,80014,Curb
5283,80015,Rollover/Overturn
5284,80016,Motor Vehicle In-Transport
5285,80017,Motor Vehicle In-Transport
5286,80018,Tree (Standing Only)
5287,80019,Pedestrian
5288,80020,Boulder
5289,80021,Non-Motorist on Personal Conveyance
5290,80022,Pedestrian
5291,80023,Motor Vehicle In-Transport
5292,80024,Motor Vehicle In-Transport
5293,80025,Curb
5294,80026,Pedestrian
5295,80027,Curb
5296,80029,Rollover/Overturn
5297,80030,Motor Vehicle In-Transport
5298,80031,Fence
5299,80032,Rollover/Overturn
5300,80033,Other Object (Not Fixed)
5301,80034,Motor Vehicle In-Transport
5302,80035,Motor Vehicle In-Transport
5303,80036,Motor Vehicle In-Transport
5304,80037,Motor Vehicle In-Transport
5305,80038,Rollover/Overturn
5306,80039,"Other Post, Other Pole, or Other Supports"
5307,80040,Pedalcyclist
5308,80041,Motor Vehicle In-Transport
5309,80042,Motor Vehicle In-Transport
5310,80043,Pedestrian
5311,80044,Motor Vehicle In-Transport
5312,80045,Bridge Rail (Includes Parapet)
5313,80046,Motor Vehicle In-Transport
5314,80047,Pedestrian
5315,80048,"Other Post, Other Pole, or Other Supports"
5316,80049,"Other Post, Other Pole, or Other Supports"
5317,80050,"Other Post, Other Pole, or Other Supports"
5318,80051,Motor Vehicle In-Transport
5319,80052,Rollover/Overturn
5320,80053,Pedestrian
5321,80054,Motor Vehicle In-Transport
5322,80055,Rollover/Overturn
5323,80056,Traffic Sign Support
5324,80057,Motor Vehicle In-Transport
5325,80058,Boulder
5326,80059,Motor Vehicle In-Transport
5327,80060,Motor Vehicle In-Transport
5328,80061,Motor Vehicle In-Transport
5329,80062,Motor Vehicle In-Transport
5330,80063,Motor Vehicle In-Transport
5331,80064,Rollover/Overturn
5332,80065,Curb
5333,80066,Pedestrian
5334,80067,Motor Vehicle In-Transport
5335,80068,Other Fixed Object
5336,80069,Rollover/Overturn
5337,80070,Motor Vehicle In-Transport
5338,80071,Tree (Standing Only)
5339,80073,Pedestrian
5340,80074,Pedalcyclist
5341,80075,Utility Pole/Light Support
5342,80076,Motor Vehicle In-Transport
5343,80078,Embankment
5344,80079,Shrubbery
5345,80080,Motor Vehicle In-Transport
5346,80081,Curb
5347,80082,Motor Vehicle In-Transport
5348,80083,Rollover/Overturn
5349,80084,Motor Vehicle In-Transport
5350,80085,Motor Vehicle In-Transport
5351,80086,Tree (Standing Only)
5352,80087,Building
5353,80088,Motor Vehicle In-Transport
5354,80089,Motor Vehicle In-Transport
5355,80090,Rollover/Overturn
5356,80091,Motor Vehicle In-Transport
5357,80092,Guardrail End
5358,80093,Motor Vehicle In-Transport
5359,80094,Motor Vehicle In-Transport
5360,80095,Pedestrian
5361,80096,Motor Vehicle In-Transport
5362,80097,Guardrail Face
5363,80098,Rollover/Overturn
5364,80099,Pedestrian
5365,80100,Pedestrian
5366,80101,Pedestrian
5367,80102,Pedestrian
5368,80103,Rollover/Overturn
5369,80104,Rollover/Overturn
5370,80105,Motor Vehicle In-Transport
5371,80106,Pedestrian
5372,80107,Concrete Traffic Barrier
5373,80108,"Other Post, Other Pole, or Other Supports"
5374,80109,Guardrail Face
5375,80110,Rollover/Overturn
5376,80111,Tree (Standing Only)
5377,80112,Culvert
5378,80113,Guardrail Face
5379,80114,Rollover/Overturn
5380,80115,Pedestrian
5381,80116,Motor Vehicle In-Transport
5382,80117,Traffic Sign Support
5383,80118,"Other Post, Other Pole, or Other Supports"
5384,80119,Rollover/Overturn
5385,80120,Motor Vehicle In-Transport
5386,80121,Motor Vehicle In-Transport
5387,80122,Pedestrian
5388,80123,Curb
5389,80124,Motor Vehicle In-Transport
5390,80125,Fence
5391,80126,Cable Barrier
5392,80127,Motor Vehicle In-Transport
5393,80128,Rollover/Overturn
5394,80129,Motor Vehicle In-Transport
5395,80130,Motor Vehicle In-Transport
5396,80131,Rollover/Overturn
5397,80132,Motor Vehicle In-Transport
5398,80133,Pedestrian
5399,80134,Motor Vehicle In-Transport
5400,80135,"Other Post, Other Pole, or Other Supports"
5401,80136,Motor Vehicle In-Transport
5402,80137,Pedestrian
5403,80138,Rollover/Overturn
5404,80139,Embankment
5405,80140,Motor Vehicle In-Transport
5406,80141,Rollover/Overturn
5407,80142,Motor Vehicle In-Transport
5408,80143,Traffic Sign Support
5409,80144,Motor Vehicle In-Transport
5410,80145,Rollover/Overturn
5411,80146,"Other Post, Other Pole, or Other Supports"
5412,80147,Rollover/Overturn
5413,80148,Rollover/Overturn
5414,80149,Motor Vehicle In-Transport
5415,80150,Other Fixed Object
5416,80151,Parked Motor Vehicle
5417,80152,Motor Vehicle In-Transport
5418,80153,Motor Vehicle In-Transport
5419,80154,Motor Vehicle In-Transport
5420,80155,Traffic Signal Support
5421,80156,Rollover/Overturn
5422,80157,Guardrail End
5423,80158,Motor Vehicle In-Transport
5424,80159,Rollover/Overturn
5425,80160,Embankment
5426,80161,Motor Vehicle In-Transport
5427,80162,Rollover/Overturn
5428,80163,Rollover/Overturn
5429,80164,Motor Vehicle In-Transport
5430,80165,Motor Vehicle In-Transport
5431,80166,Motor Vehicle In-Transport
5432,80167,Motor Vehicle In-Transport
5433,80168,Rollover/Overturn
5434,80169,Motor Vehicle In-Transport
5435,80170,Motor Vehicle In-Transport
5436,80171,Motor Vehicle In-Transport
5437,80172,Motor Vehicle In-Transport
5438,80173,Pedestrian
5439,80174,Non-Motorist on Personal Conveyance
5440,80175,Pedestrian
5441,80176,Live Animal
5442,80177,Pedestrian
5443,80178,Rollover/Overturn
5444,80179,Motor Vehicle In-Transport
5445,80180,Pedestrian
5446,80181,Motor Vehicle In-Transport
5447,80182,Rollover/Overturn
5448,80183,Fell/Jumped from Vehicle
5449,80184,Tree (Standing Only)
5450,80185,Motor Vehicle In-Transport
5451,80186,Rollover/Overturn
5452,80187,Motor Vehicle In-Transport
5453,80188,Traffic Sign Support
5454,80189,Motor Vehicle In-Transport
5455,80190,"Other Post, Other Pole, or Other Supports"
5456,80191,Fence
5457,80192,Motor Vehicle In-Transport
5458,80193,Embankment
5459,80194,Other Traffic Barrier
5460,80195,Rollover/Overturn
5461,80196,Motor Vehicle In-Transport
5462,80197,Motor Vehicle In-Transport
5463,80198,Motor Vehicle In-Transport
5464,80199,Traffic Sign Support
5465,80200,Motor Vehicle In-Transport
5466,80201,Rollover/Overturn
5467,80202,Rollover/Overturn
5468,80203,Rollover/Overturn
5469,80204,Pedestrian
5470,80205,"Other Post, Other Pole, or Other Supports"
5471,80206,Mail Box
5472,80207,Motor Vehicle In-Transport
5473,80208,Motor Vehicle In-Transport
5474,80209,Motor Vehicle In-Transport
5475,80210,Pedalcyclist
5476,80211,Culvert
5477,80212,Motor Vehicle In-Transport
5478,80213,Guardrail Face
5479,80214,Traffic Sign Support
5480,80215,Rollover/Overturn
5481,80216,Pedestrian
5482,80217,Motor Vehicle In-Transport
5483,80218,Motor Vehicle In-Transport
5484,80219,Rollover/Overturn
5485,80220,Immersion or Partial Immersion
5486,80221,Parked Motor Vehicle
5487,80222,Pedalcyclist
5488,80223,Immersion or Partial Immersion
5489,80224,Pedalcyclist
5490,80226,Motor Vehicle In-Transport
5491,80227,Motor Vehicle In-Transport
5492,80228,Motor Vehicle In-Transport
5493,80229,Motor Vehicle In-Transport
5494,80230,Motor Vehicle In-Transport
5495,80231,Curb
5496,80232,Tree (Standing Only)
5497,80233,Boulder
5498,80234,Curb
5499,80235,Embankment
5500,80236,Motor Vehicle In-Transport
5501,80237,Motor Vehicle In-Transport
5502,80238,Rollover/Overturn
5503,80239,Guardrail Face
5504,80240,Ditch
5505,80241,Pedestrian
5506,80242,Motor Vehicle In-Transport
5507,80243,Pedestrian
5508,80244,Motor Vehicle In-Transport
5509,80245,Rollover/Overturn
5510,80246,Rollover/Overturn
5511,80247,Rollover/Overturn
5512,80248,Curb
5513,80249,Pedalcyclist
5514,80250,Rollover/Overturn
5515,80251,Rollover/Overturn
5516,80252,Motor Vehicle In-Transport
5517,80253,"Other Post, Other Pole, or Other Supports"
5518,80254,Pedestrian
5519,80255,Rollover/Overturn
5520,80256,Railway Vehicle
5521,80257,Motor Vehicle In-Transport
5522,80258,Motor Vehicle In-Transport
5523,80259,Fell/Jumped from Vehicle
5524,80260,Motor Vehicle In-Transport
5525,80261,Motor Vehicle In-Transport
5526,80262,Fence
5527,80263,Rollover/Overturn
5528,80264,Live Animal
5529,80265,Motor Vehicle In-Transport
5530,80266,Motor Vehicle In-Transport
5531,80267,Rollover/Overturn
5532,80268,Rollover/Overturn
5533,80269,Curb
5534,80270,Curb
5535,80271,Utility Pole/Light Support
5536,80272,Curb
5537,80273,Curb
5538,80274,Motor Vehicle In-Transport
5539,80275,"Other Post, Other Pole, or Other Supports"
5540,80276,Tree (Standing Only)
5541,80277,Pedestrian
5542,80278,Pedalcyclist
5543,80279,Motor Vehicle In-Transport
5544,80280,Live Animal
5545,80281,Motor Vehicle In-Transport
5546,80282,Rollover/Overturn
5547,80283,Motor Vehicle In-Transport
5548,80284,Rollover/Overturn
5549,80285,Rollover/Overturn
5550,80286,Motor Vehicle In-Transport
5551,80287,Rollover/Overturn
5552,80288,Motor Vehicle In-Transport
5553,80289,Rollover/Overturn
5554,80290,Fence
5555,80291,Motor Vehicle In-Transport
5556,80292,Tree (Standing Only)
5557,80293,Traffic Sign Support
5558,80294,Motor Vehicle In-Transport
5559,80295,Embankment
5560,80296,Traffic Signal Support
5561,80297,Motor Vehicle In-Transport
5562,80298,Motor Vehicle In-Transport
5563,80299,Motor Vehicle In-Transport
5564,80300,Rollover/Overturn
5565,80301,Motor Vehicle In-Transport
5566,80302,Rollover/Overturn
5567,80303,Motor Vehicle In-Transport
5568,80304,Curb
5569,80305,Rollover/Overturn
5570,80306,Motor Vehicle In-Transport
5571,80307,Motor Vehicle In-Transport
5572,80308,"Other Post, Other Pole, or Other Supports"
5573,80309,Motor Vehicle In-Transport
5574,80310,Other Object (Not Fixed)
5575,80311,Boulder
5576,80312,Pedalcyclist
5577,80313,Pedestrian
5578,80314,Other Fixed Object
5579,80315,Rollover/Overturn
5580,80316,Motor Vehicle In-Transport
5581,80317,Rollover/Overturn
5582,80318,Motor Vehicle In-Transport
5583,80319,Fence
5584,80320,Bridge Pier or Support
5585,80321,Pedestrian
5586,80322,Guardrail Face
5587,80323,Live Animal
5588,80324,Rollover/Overturn
5589,80325,Motor Vehicle In-Transport
5590,80326,"Other Post, Other Pole, or Other Supports"
5591,80327,Motor Vehicle In-Transport
5592,80328,Curb
5593,80329,Pedestrian
5594,80330,Rollover/Overturn
5595,80331,Fence
5596,80332,Motor Vehicle In-Transport
5597,80333,Tree (Standing Only)
5598,80334,Rollover/Overturn
5599,80335,Fence
5600,80336,Motor Vehicle In-Transport
5601,80337,Fell/Jumped from Vehicle
5602,80338,Pedestrian
5603,80339,Rollover/Overturn
5604,80340,Rollover/Overturn
5605,80341,Motor Vehicle In-Transport
5606,80342,Live Animal
5607,80343,Motor Vehicle In-Transport
5608,80344,Rollover/Overturn
5609,80345,Motor Vehicle In-Transport
5610,80346,Pedestrian
5611,80347,Motor Vehicle In-Transport
5612,80348,Pedestrian
5613,80349,Motor Vehicle In-Transport
5614,80350,Motor Vehicle In-Transport
5615,80351,Fell/Jumped from Vehicle
5616,80352,Motor Vehicle In-Transport
5617,80353,Pedestrian
5618,80354,Fell/Jumped from Vehicle
5619,80355,Guardrail End
5620,80356,Railway Vehicle
5621,80357,Motor Vehicle In-Transport
5622,80358,Pedalcyclist
5623,80359,"Other Post, Other Pole, or Other Supports"
5624,80360,Rollover/Overturn
5625,80361,Motor Vehicle In-Transport
5626,80362,Pedestrian
5627,80363,Motor Vehicle In-Transport
5628,80364,Motor Vehicle In-Transport
5629,80365,"Other Post, Other Pole, or Other Supports"
5630,80366,"Other Post, Other Pole, or Other Supports"
5631,80367,Pedestrian
5632,80368,Rollover/Overturn
5633,80369,Motor Vehicle In-Transport
5634,80370,Motor Vehicle In-Transport
5635,80371,Curb
5636,80372,Rollover/Overturn
5637,80373,Motor Vehicle In-Transport
5638,80374,Guardrail Face
5639,80375,Traffic Sign Support
5640,80376,Live Animal
5641,80377,Rollover/Overturn
5642,80378,Pedestrian
5643,80379,Motor Vehicle In-Transport
5644,80380,Fence
5645,80381,Motor Vehicle In-Transport
5646,80382,Non-Motorist on Personal Conveyance
5647,80383,Boulder
5648,80384,Pedestrian
5649,80385,Motor Vehicle In-Transport
5650,80386,Motor Vehicle In-Transport
5651,80387,Pedestrian
5652,80388,Motor Vehicle In-Transport
5653,80389,Motor Vehicle In-Transport
5654,80390,Pedalcyclist
5655,80391,Motor Vehicle In-Transport
5656,80392,Rollover/Overturn
5657,80393,Rollover/Overturn
5658,80394,Motor Vehicle In-Transport
5659,80395,Rollover/Overturn
5660,80396,Pedestrian
5661,80397,Motor Vehicle In-Transport
5662,80398,Motor Vehicle In-Transport
5663,80399,Guardrail Face
5664,80401,Rollover/Overturn
5665,80402,Motor Vehicle In-Transport
5666,80403,Curb
5667,80404,Motor Vehicle In-Transport
5668,80405,Pedestrian
5669,80406,Motor Vehicle In-Transport
5670,80407,Rollover/Overturn
5671,80408,Rollover/Overturn
5672,80409,Motor Vehicle In-Transport
5673,80410,Motor Vehicle In-Transport
5674,80411,Rollover/Overturn
5675,80412,Fell/Jumped from Vehicle
5676,80413,Motor Vehicle In-Transport
5677,80414,Traffic Sign Support
5678,80415,Curb
5679,80416,Motor Vehicle In-Transport
5680,80417,Rollover/Overturn
5681,80418,Pedalcyclist
5682,80419,Motor Vehicle In-Transport
5683,80420,Impact Attenuator/Crash Cushion
5684,80421,Motor Vehicle In-Transport
5685,80422,Live Animal
5686,80423,"Other Post, Other Pole, or Other Supports"
5687,80424,Tree (Standing Only)
5688,80425,Motor Vehicle In-Transport
5689,80426,Motor Vehicle In-Transport
5690,80427,Motor Vehicle In-Transport
5691,80428,Traffic Sign Support
5692,80429,Guardrail Face
5693,80430,Rollover/Overturn
5694,80431,"Other Post, Other Pole, or Other Supports"
5695,80432,Motor Vehicle In-Transport
5696,80433,Motor Vehicle In-Transport
5697,80434,Motor Vehicle In-Transport
5698,80435,Motor Vehicle In-Transport
5699,80436,Motor Vehicle In-Transport
5700,80437,Motor Vehicle In-Transport
5701,80438,Curb
5702,80439,Curb
5703,80440,Motor Vehicle In-Transport
5704,80441,Motor Vehicle In-Transport
5705,80442,Curb
5706,80443,Curb
5707,80444,Pedestrian
5708,80445,Motor Vehicle In-Transport
5709,80446,Pedestrian
5710,80447,Motor Vehicle In-Transport
5711,80448,Rollover/Overturn
5712,80449,Rollover/Overturn
5713,80450,Guardrail End
5714,80451,Motor Vehicle In-Transport
5715,80452,Motor Vehicle In-Transport
5716,80453,Motor Vehicle In-Transport
5717,80455,Curb
5718,80456,Motor Vehicle In-Transport
5719,80457,Pedalcyclist
5720,80458,Traffic Sign Support
5721,80459,"Other Post, Other Pole, or Other Supports"
5722,80460,Rollover/Overturn
5723,80461,Fence
5724,80462,Tree (Standing Only)
5725,80463,Pedestrian
5726,80464,Pedestrian
5727,80465,Motor Vehicle In-Transport
5728,80466,Motor Vehicle In-Transport
5729,80467,Embankment
5730,80468,Rollover/Overturn
5731,80469,Motor Vehicle In-Transport
5732,80470,Motor Vehicle In-Transport
5733,80471,Motor Vehicle In-Transport
5734,80472,Motor Vehicle In-Transport
5735,80473,Pedestrian
5736,80474,Rollover/Overturn
5737,80475,Motor Vehicle In-Transport
5738,80476,Rollover/Overturn
5739,80477,Fence
5740,80478,Motor Vehicle In-Transport
5741,80479,Pedestrian
5742,80480,Motor Vehicle In-Transport
5743,80481,Curb
5744,80482,Curb
5745,80483,Pedestrian
5746,80484,Motor Vehicle In-Transport
5747,80485,"Other Post, Other Pole, or Other Supports"
5748,80486,Rollover/Overturn
5749,80487,Tree (Standing Only)
5750,80488,Rollover/Overturn
5751,80489,Motor Vehicle In-Transport
5752,80490,Rollover/Overturn
5753,80491,Motor Vehicle In-Transport
5754,80492,Rollover/Overturn
5755,80493,Other Fixed Object
5756,80494,Pedestrian
5757,80495,Motor Vehicle In-Transport
5758,80496,Pedestrian
5759,80497,Rollover/Overturn
5760,80498,Motor Vehicle In-Transport
5761,80499,Tree (Standing Only)
5762,80500,Rollover/Overturn
5763,80501,Motor Vehicle In-Transport
5764,80502,Motor Vehicle In-Transport
5765,80503,Traffic Sign Support
5766,80504,Motor Vehicle In-Transport
5767,80505,Pedestrian
5768,80506,Rollover/Overturn
5769,80507,Pedestrian
5770,80509,Curb
5771,80510,Motor Vehicle In-Transport
5772,80511,Non-Motorist on Personal Conveyance
5773,80512,Motor Vehicle In-Transport
5774,80513,Motor Vehicle In-Transport
5775,80514,Motor Vehicle In-Transport
5776,90001,Curb
5777,90002,Pedestrian
5778,90003,Tree (Standing Only)
5779,90004,Motor Vehicle In-Transport
5780,90005,Motor Vehicle In-Transport
5781,90006,Motor Vehicle In-Transport
5782,90007,Motor Vehicle In-Transport
5783,90008,Pedestrian
5784,90009,Pedestrian
5785,90010,Pedestrian
5786,90011,Motor Vehicle In-Transport
5787,90012,Parked Motor Vehicle
5788,90013,Pedestrian
5789,90014,Motor Vehicle In-Transport
5790,90015,Pedestrian
5791,90016,Motor Vehicle In-Transport
5792,90017,Other Fixed Object
5793,90018,Motor Vehicle In-Transport
5794,90019,Pedestrian
5795,90020,Curb
5796,90021,Rollover/Overturn
5797,90022,Tree (Standing Only)
5798,90023,Motor Vehicle In-Transport
5799,90024,Motor Vehicle In-Transport
5800,90025,Motor Vehicle In-Transport
5801,90026,Wall
5802,90027,Curb
5803,90028,Mail Box
5804,90029,Tree (Standing Only)
5805,90030,Guardrail Face
5806,90032,Guardrail Face
5807,90033,Pedestrian
5808,90034,Pedestrian
5809,90035,Guardrail Face
5810,90036,Boulder
5811,90037,Motor Vehicle In-Transport
5812,90038,Motor Vehicle In-Transport
5813,90039,Guardrail Face
5814,90040,Curb
5815,90041,Other Fixed Object
5816,90042,Utility Pole/Light Support
5817,90043,Motor Vehicle In-Transport
5818,90044,Utility Pole/Light Support
5819,90045,Motor Vehicle In-Transport
5820,90046,Guardrail Face
5821,90047,Guardrail Face
5822,90048,Motor Vehicle In-Transport
5823,90049,Bridge Pier or Support
5824,90050,Curb
5825,90051,Motor Vehicle In-Transport
5826,90052,Pedestrian
5827,90053,Pedestrian
5828,90054,Motor Vehicle In-Transport
5829,90055,Tree (Standing Only)
5830,90056,Motor Vehicle In-Transport
5831,90057,Tree (Standing Only)
5832,90058,Motor Vehicle In-Transport
5833,90059,Thrown or Falling Object
5834,90060,Tree (Standing Only)
5835,90061,Embankment
5836,90062,Motor Vehicle In-Transport
5837,90063,Guardrail Face
5838,90064,Traffic Sign Support
5839,90065,Pedestrian
5840,90066,Motor Vehicle In-Transport
5841,90067,Tree (Standing Only)
5842,90068,Pedestrian
5843,90069,Utility Pole/Light Support
5844,90070,Rollover/Overturn
5845,90071,Pedestrian
5846,90072,Motor Vehicle In-Transport
5847,90073,Motor Vehicle In-Transport
5848,90074,Motor Vehicle In-Transport
5849,90075,Motor Vehicle In-Transport
5850,90076,Traffic Sign Support
5851,90077,Motor Vehicle In-Transport
5852,90078,Tree (Standing Only)
5853,90079,Motor Vehicle In-Transport
5854,90080,Motor Vehicle In-Transport
5855,90081,Curb
5856,90082,Guardrail Face
5857,90083,Bridge Pier or Support
5858,90085,Guardrail Face
5859,90086,Tree (Standing Only)
5860,90087,Guardrail Face
5861,90088,Motor Vehicle In-Transport
5862,90089,Snow Bank
5863,90090,Mail Box
5864,90091,Guardrail Face
5865,90092,Motor Vehicle In-Transport
5866,90093,Guardrail Face
5867,90094,Other Fixed Object
5868,90095,Guardrail Face
5869,90096,Motor Vehicle In-Transport
5870,90097,Curb
5871,90098,"Other Post, Other Pole, or Other Supports"
5872,90099,Embankment
5873,90100,Guardrail Face
5874,90101,Motor Vehicle In-Transport
5875,90102,Motor Vehicle In-Transport
5876,90103,Pedestrian
5877,90104,Utility Pole/Light Support
5878,90105,Motor Vehicle In-Transport
5879,90107,Motor Vehicle In-Transport
5880,90108,Motor Vehicle In-Transport
5881,90109,Snow Bank
5882,90110,Traffic Sign Support
5883,90111,Utility Pole/Light Support
5884,90112,Motor Vehicle In-Transport
5885,90113,Motor Vehicle In-Transport
5886,90114,Pedestrian
5887,90115,Motor Vehicle In-Transport
5888,90116,Motor Vehicle In-Transport
5889,90117,Motor Vehicle In-Transport
5890,90118,Concrete Traffic Barrier
5891,90119,Motor Vehicle In-Transport
5892,90120,Guardrail Face
5893,90121,Motor Vehicle In-Transport
5894,90122,Motor Vehicle In-Transport
5895,90123,Motor Vehicle In-Transport
5896,90124,Fence
5897,90125,Motor Vehicle In-Transport
5898,90126,Motor Vehicle In-Transport
5899,90127,Motor Vehicle In-Transport
5900,90128,Pedestrian
5901,90129,Utility Pole/Light Support
5902,90130,Embankment
5903,90131,Rollover/Overturn
5904,90132,Pedestrian
5905,90133,Guardrail Face
5906,90134,Curb
5907,90135,Motor Vehicle In-Transport
5908,90136,Motor Vehicle In-Transport
5909,90137,Wall
5910,90138,Motor Vehicle In-Transport
5911,90139,Bridge Rail (Includes Parapet)
5912,90140,Motor Vehicle In-Transport
5913,90141,Embankment
5914,90142,Pedalcyclist
5915,90143,Pedestrian
5916,90144,Bridge Rail (Includes Parapet)
5917,90145,Motor Vehicle In-Transport
5918,90146,Rollover/Overturn
5919,90147,Curb
5920,90148,Pedestrian
5921,90149,Curb
5922,90150,Guardrail Face
5923,90151,Guardrail Face
5924,90152,"Pavement Surface Irregularity (Ruts, Potholes, Grates, etc.)"
5925,90153,Motor Vehicle In-Transport
5926,90154,Pedestrian
5927,90155,Motor Vehicle In-Transport
5928,90156,Pedestrian
5929,90157,Concrete Traffic Barrier
5930,90158,Pedestrian
5931,90159,Rollover/Overturn
5932,90160,Rollover/Overturn
5933,90161,Mail Box
5934,90162,Pedestrian
5935,90163,Tree (Standing Only)
5936,90164,Guardrail Face
5937,90165,Guardrail Face
5938,90166,Utility Pole/Light Support
5939,90167,Curb
5940,90168,Motor Vehicle In-Transport
5941,90169,Concrete Traffic Barrier
5942,90170,Pedestrian
5943,90171,Rollover/Overturn
5944,90173,Guardrail Face
5945,90174,Pedestrian
5946,90175,Pedestrian
5947,90176,Guardrail Face
5948,90177,Wall
5949,90178,Pedestrian
5950,90179,Embankment
5951,90180,Guardrail Face
5952,90181,Motor Vehicle In-Transport
5953,90182,Motor Vehicle In-Transport
5954,90183,Pedestrian
